GRUP,OBJECTE,ÍTEM 1,ÍTEM 2,ÍTEM 3,ÍTEM 4,NOMBRE RESPOSTES,COMENTARI
AF1,MP01 - Comunicació i atenció al client,"7,89","7,74","8,53","7,21",19,"Menos teoria.
Activitats més dinàmiques i no tant teòriques. Posada en comú amb els companys.
Creo que las actividades realizadas en clase deberían ser más dinámicas y en menor cantidad.
hay demasiado volumen de tascas y las correciones podrían explicar un poco más en lo que has fallado
muy bien
Desde mi punto de vista, pienso que las clases no son metodicas. Nos hace una pequeña explicación con diapositivas muy costosas de entender. Me gustaría cosas mas dinamicas.
La manera de hacer i avaluar los examenes
Que las explicaciones, o las suba a moodle o no sean tan esquemáticas."
AF1,MP03 - Procés integral de l'activitat comercial,"8,41","8,88","8,82","8,59",17,"Tendria que haber mas practica
Creo que las explicaciones deberían estar más pautadas y con un nivel adaptado a todo el alumnado.
Encarar l'assignatura d'una manera més guiada, adaptar la classe al nivell dels alumnes. Crec que sobren hores d'aquesta assignatura, passem massa temps mort.
Es la mejor 
Me gusta su forma de llevar la clase
nuestra preferida
Me he equivocado en la anterior pensando que era recursos humanos, Ana es una jefaza aun que a veces se contradice en algunas explicaciones."
AF1,MP05 - Ofimàtica i procés de la informació,"8,26","8,11","8,47","8,42",19,"me gustaria que sea iguales para todos, no preferencias.
si la explicación fuera en catalán o castellano me enteraría mejor
Les explicacions a classe també haurien de ser en català o espanyol. També haurien de ser explicacions més pautades i més lentes, s'hauria d'adaptar al nivell de la classe. No hauria d'haver tanta desigualtat respecte a l'exercici que cada alumnes està fent.
Creo que las explicaciones deberían ser o en castellano o parcialment en castellano y a velocidad más moderada, para que todos los alumnos pudieran alcanzar el mismo nivel y no hubiese tanta desigualdad.
Explicaciones en español.
La única pega es que las explicaciones sean en inglés."
AF1,MP06 - Anglès,"8,11","8,53","8,53","8,16",19,"que tenga más comprensiçón con la gente que nos cuesta mas el ingles
Creo que se debería profundizar un poco más en gramática.
Crec que s'haurien de fer més classes de gramatica ja que hi ha molts companys amb el nivell molt baix d'anglès i una bona base és fonamental per aprendre vocabulari."
AF1,MP07 - Gestió de recursos humans,"7,53","7,73","8,27","7,40",15,"Menos teoria y mas practica
Crec que haurien de ser classes més dinàmiques, que algunes explicacions s'haurien de fer de forma més moderada per a tothom.
Creo que las tareas de clase deberían ser más dinámicas, menos numerosas, y con cierta explicación previa en algunos casos.
que nos explicará los fallos que tenemos en las tascas
No me gusta como corrige los examenes
Que nos indique mejor donde hay que buscar la información, ya que es muy fácil equivocarse, y no te pone la respuesta correcta si te has equivocado."
AF1,MP10 - Gestió logística i comercial,"9,00","8,88","9,00","8,71",17,"no haría ningún cambio
Crec que hi sobra massa teoria, en la meva opinió perdem molt de temps treballant en temes que després no ense serveixen per res.
Creo que hay excesivo material poco útil, al cuál dedicamos demasiado tiempo.
Son dosieres muy densos y muchos temas y muchos puntos dentro de los temas."
AF1,MP12 - Formació i orientació laboral,"8,22","8,22","8,00","8,00",9,"no me gusta la manera de explicar cuando ella esta dando la teoria nosotros sentados en los ordenadores porque nos distraemos y no antedemos igual
Jo crec que la assignatura no està ben enfocada. Som només 6 persones i el tipus d'activitats que fem es fan pesades, avorrides, i a vegades crec que no aprenem res d'elles. 
Creo que la dinámica de clase no es la adecuada, ya que tanto la metodología empleada como el material impartido, dejan mucho que desear. No se llegan a afianzar conocimientos."
AF1,Tutoria 1r curs,"8,47","8,65","8,76",,17,"Hablar mas con los alumnos
Creo que la elección del tutor ha sido totalmente acertada, ya que siempre se muestra atento y accesible para todo el alumnado.
Jo posaria una hora de tutoria a la setmana, per parlar de temes com: dates d'examens, formes d'estudi, jocs, etc... crec que és necessari que tota la classe junta treballi.
Nada que reprochar, un autentico placer y un gusto como me ha ayudado después de volver, lo mínimo que puedo decir es gracias.
deberiamos de hacer mas horas de tutoria en clase"
AF2,MP02 - Gestió de la documentació jurídica i empresarial (Anna),"6,76","7,71","6,88","7,65",17,"Ana deberia ponerse mas firme en clase, porque siempre habla todo el mundo y al final acabo con dolor de cabeza...
Mejoraría las explicaciones de forma más relajada y con unas pautas estipuladas para mejorar el aprendizaje en clase
La asignatura en si es muy aburrida, por lo que el profesor lo tiene más difícil de lo normal para hacer que esta asignatura enganche a los alumnos. Anna intenta que sea más dinámica y me parece muy bien como lo hace, pero creo que es capaz de hacerlo mucho más ameno. "
AF2,MP02 - Gestió de la documentació jurídica i empresarial (Juan),"8,88","8,47","8,41","8,71",17,Profesional y objetivo. Me parece perfecto este hombre como profesor. 
