GRUP,OBJECTE,ÍTEM 1,ÍTEM 2,ÍTEM 3,ÍTEM 4,NOMBRE RESPOSTES,COMENTARI
ASIX1,MP01 - Implantació de sistemes operatius,"4,64","4,09","7,00","6,36",11,"Molt bé
Ninguna
Falta Organización en material y desarrollo de clases 
Crec que hi ha bastant a millorar, les transparències si que són adequades però la forma d'explicar del professor, des del meu punt de vista, no és la més correcta i la forma d'avaluar crec que s'hauria de millorar molt,ja que a vegades puntua com ell vull
Las explicaciones son demasiado extensas y desordenadas. Debido a esto, el tiempo en clase para las actividades es escaso y si tenemos dudas no da tiempo a preguntar para resolverlas.
Cuando tiene que explicar el tema, se nota que sabe lo que está diciendo pero se desvía demasiado del tema, lo que puede distraer. Y las expresiones de los exámenes son engañosas.
La manera de dar clases no es la mas adecuada. Sus clases son repetiticvas y se hace pesado y aburrido. Una explicación mas dinámica  y rápida sería lo mejor. Lo que si tenemos son buenos apuntes y grácias a ellos podemos aprender y hacer las actividades.
No explicar tantas veces lo mismo, por ejemplo si una práctica tiene 10 ejercicios, explica 3 veces el mismo ejercicio, y a lo mejor el ultimo ejercio lo explica por encima.  Prácticas mas cortas. Exámenes mas compactos, el ultimo era demasiado largo para el tiempo que teniamos.
Pienso que ha faltado organización en el módulo, la manera de evaluar en muchas ocasiones no ha sido la correcta, me ha gustado que el profesor escuchara a los alumnos.
creo que para un profesor impartir este modulo es algo complicado, ya que es muy extensa y la mayoria es practica, asi que yo creo que estaria bien tener un segundo profesor que ayude a impartir la clase. (el profesor deberia de renovar los retuladores.) 
La organización de las clases se debe mejorar. No hay sensación de orden cuando se salta de un contenido a otro y luego se vuelve al mismo, o se explica varias veces el mismo. Los apuntes son bastante buenos. Las prácticas son extensas y no sirven si no se corrigen a tiempo."
ASIX1,MP02 - Gestió de bases de dades,"9,20","9,60","9,00","9,20",10,"Ninguna, es muy buena y explica bien y detallamente
Una clase sin problema.
Su sonrisa me distrae en clase y no me permite concentrarme bien!!!
Sandra es una profesora aplicada y que se preocupa por los estudiantes, ojalá hubieran más como ella.
Buena organización del tiempo y de las evaluaciones. Los apuntes son muy claros y concisos. La manera de explicar de la profesora es muy amena, clara y cercana, siendo así más fácil captar y aprender los contenidos del módulo. Muy, muy buena profesora."
ASIX1,MP03 - Programació bàsica,"5,50","6,30","6,70","4,90",10,"Necesita explicar un poco mejor y que por lo menos empieze con algo sencillo para asi poder entender mejor el tema
Pienso que a la hora de aprender un lenguaje de programación se debe empezar con una base básica y que quede clara y no poner desde el primer día ejercicios con mucha dificultad como si los alumnos supieran programar
Las explicaciones son demasiado breves y vagas, por lo que te pierdes en ejercicios futuros y no espera que lo entiendas (al menos no siempre).
No me he sentido atendido por el profesor, no escuchaba los problemas de la mayoria de los alumnos, el profesor sabe mucho de la materia pero no sabe explicarla, necesito medios externos a la escuela para aprender esta materia
class CriticaCostructiva{ System.out.println(El profesor deberia hacer cosas mas basicas para poder entender la metodologia y sintaxis del lenguaje de programacion y prepararse un poquito la asignatura en su casa)  }
clase Mejorar{ Alumno noSeEnteraDnada; Boolean nosEnteramos=false; while (hacesEnClaseCosasComplicadas()){   noSeEnteraDnada++;      if (hacesProblemasEnClaseFaciles) nosEnteramos=true;  System.out.println(""En la UF2 has explicado bastante mejor q el la UF1""); } }
Dada la dificultad de la programación para las personas que no lo han hecho nunca, la metodología creo que no es la adecuada, poniendo poco énfasis en la resolución de los problemas. Con el método de evaluar elegido no es posible saber el progreso hasta el examen."
ASIX1,MP04 - Llenguatges de marques i sistemes de gestió d'informació,"9,60","9,40","9,00","9,70",10,"Es buen profesor.
No conseguiste el punto extra.
Sin ninguna queja sobre el profesor, Fer es muy buen profesor
Explica muy bien y su metodologia de enseñanza es muy muy muy adecuada (deberia de dar formaciones a otros profesore para que tomen nota!!!)
El mejor profe, me encanta tu metologia de estudio.
Muy buen profesor, muy cercano con el alumno. Explicaciones sencillas y claras, facilitando el aprendizaje. Posibilita el conocimiento en poco tiempo de muchas tecnologías."
ASIX1,MP12 - Formació i orientació laboral,"7,50","8,25","7,50","7,75",4,
ASIX1,MP13 - Empresa i iniciativa emprenedora,"7,25","7,75","7,50","7,50",4,
ASIX1,Tutoria 1r curs,"4,30","4,60","3,90",,10,"No hemos hecho tutoria ni nada parecido.
El tutor no ejerce como tal y toda la información de excursiones y de otro tipo la recibimos de otro profesor que sin serlo nos informa de todo y nos ayuda con problemas que podamos tener.
Nunca tuvimos una clase de tutoría.
NO SE QUIEN MI TUTOR....... Y TU¿?¿?¿?
Poca comunicación en el ámbito de tutoría del profesor. La mayoría de las veces los alumnos conocemos las cosas por otros profesores."
ASIX2,MP02 - Gestió de bases de dades,"6,60","6,60","7,80","6,20",5,"correcto en general
Creo que sería necesaria más tería en clase ya que solamente con las practicas al principio nos era jodido en los examenes.  Creo que también esta clase necesitaría un horario repartido durante la semana, no solamente 3h el mismo día.
Dijo que no pondria examenes y los puso."
ASIX2,MP05 - Fonaments de maquinari,"4,29","4,57","4,50","4,21",14,"Con Jorge todo era mejor.
Esta encuesta evalúa el al profesor titular, y no al sustituto. 
La nota es al sustituto que hemos tenido. 
Todo bien, hasta que vino el sustituto, que no nos explicaba casi nada, y cuando explicaba no se explicaba muy bien. 
Va dirigida al Jaime, a Jordi Montserrat todo bien.
Metodología de evaluar un tanto diferente respecto al profesor sustituido. Pero clases bien enfocadas.
Esta nota no es para Jordi, si fuera Jordi seria un 8, Jaime nos hizo hacer cosas repetidas y un monton de practicas que apenas se relacionaban con la teoria para luego clavarnos un examen trivial que aprobaron menos de 2
Esta nota no va dirigida a Jordi Montserrat, sino para el profesor sustituto.
El jorge es el mejor profe que hay, pero el substituto se ha cargado la materia y la nota se ha bajado bastante.
Muy contento la verdad, hasta que Jordi se fué y vino el sustituto. Cuando vino Jaime la cosa cambió para peor.
La puntuación está referida al profesor Jordi Montserrat, su sustituto, Jaime, para mi no ha estado a la altura, no he aprendido nada relevante. Nunca pensé que diría esto, pero, Jordi vuelve pronto.
3a y ultima encuesta para JAIME, debido a que solo tengo 280 caracteres por encuesta, tengo que utilizar varias, en esta no diré nada mas negativo sobre el, solo que se replantee si quiere ser profesor de verdad algún día, si siguiera quejándome  me faltan encuestas y caracteres.
Todo va para JAIME. Con Jordi, estábamos genial. Es un profe sin experiencia y no tenía ganas de dar clase. Leía todos los pdf de la pantalla y apagaba el proyector para que no nos diéramos cuenta. Dijo que haría un examen de prueba y luego el definitivo, pues solo vimos uno. 
Esto no es por Jordi, si no por Jaime. En serio ¿De donde ha salido este hombre? No ha conectado con nosotros ni lo ha intentado, sus explicaciones eran lecturas de un powerpoint y además los explicaba mal. La evaluación ha sido muy estricta y nos ha perjudicado a todos."
ASIX2,MP06 - Administració de sistemes operatius,"9,53","9,67","8,93","9,47",15,"Creo que haría falta más tiempo aunque sinceramente ya nos ocupa una gran parte del horario pero es una de las mejores en mi opinion.
Correcto en general.
Ninguna queja.
El oscar es un maquina no hace falta decir mas.
Se podria mejorar es que hicieras tu los ejercicios en la clase en el proyector como en grado medio y asi para nosotros es mas facil porque siempre hay errores chungo que salen en ejercicios que cuestan arreglar. 
Muchisima paciencia conmigo (Brian) aun llamandole hasta 30 veces en una sola hora, ademas de que el 100% de el material que utilizamos lo crea el para facilitarnos el aprendizaje. Extremadamente puntual y te ayuda incluso fuera del horario. 10/10 El y Gerard son los mejores.
Es una maravilla de profesor y persona. Es atento y te ayuda en todo lo que puede (incluso otras asignaturas). Lo único que las practicas yo las haría más resumidas. Y las clases teóricas más animadas.
Todo correcto, Oscar nos ayuda en todo lo que puede y en ofrecernos la información necesitada en sus pdf's. Pongo que el material no me sirve en un futuro porque fuera de el mundo Puig Castellar existe el sistema innombrable de Microsoft,pero lo que se ha impartido ha estado bien"
ASIX2,MP07 - Planificació i administració de xarxes,"9,40","9,60","9,13","9,60",15,"Ninguna queja.
Correcto en general.
Oscar es un maquina.
Muchisima paciencia conmigo (Brian) aun llamandole hasta 30 veces en una sola hora, ademas de que el 100% de el material que utilizamos lo crea el para facilitarnos el aprendizaje. Extremadamente puntual y te ayuda incluso fuera del horario. 10/10 El y Gerard son los mejores.
Haaaarasho 
Oscar me parece un profesor excepcional, se preocupa por el estudiante y ayuda en todo momento en lo que necesites, se esfuerza por enseñar y se nota que le gusta ver a la gente aprender.
Es una maravilla de profesor y persona. Es atento y te ayuda en todo lo que puede (incluso otras asignaturas). Lo único que las practicas yo las haría más resumidas. Y las clases teóricas más animadas.
Todo correcto, ninguna queja. Oscar ha proporcionado toda la información necesaria. Los pdf's muy pesados, pero eso ya es cosa de la materia."
