DEPARTAMENT,GRUP,OBJECTE,ÍTEM 1,ÍTEM 2,ÍTEM 3,ÍTEM 4,ÍTEM 5,ÍTEM 6,NOMBRE RESPOSTES
ADMINISTRACIÓ,AF1,El centre,"8,88","8,19","8,25","7,50","7,12","8,75",16
ADMINISTRACIÓ,AF1,MP01 - Comunicació i atenció al client,"7,89","7,74","8,53","7,21",,,19
ADMINISTRACIÓ,AF1,MP03 - Procés integral de l'activitat comercial,"8,41","8,88","8,82","8,59",,,17
ADMINISTRACIÓ,AF1,MP05 - Ofimàtica i procés de la informació,"8,26","8,11","8,47","8,42",,,19
ADMINISTRACIÓ,AF1,MP06 - Anglès,"8,11","8,53","8,53","8,16",,,19
ADMINISTRACIÓ,AF1,MP07 - Gestió de recursos humans,"7,53","7,73","8,27","7,40",,,15
ADMINISTRACIÓ,AF1,MP10 - Gestió logística i comercial,"9,00","8,88","9,00","8,71",,,17
ADMINISTRACIÓ,AF1,MP12 - Formació i orientació laboral,"8,22","8,22","8,00","8,00",,,9
ADMINISTRACIÓ,AF1,Tutoria 1r curs,"8,47","8,65","8,76",,,,17
ADMINISTRACIÓ,AF2,El centre,"7,12","5,38","3,94","6,31","4,12","6,44",16
ADMINISTRACIÓ,AF2,MP02 - Gestió de la documentació jurídica i empresarial (Anna),"6,76","7,71","6,88","7,65",,,17
ADMINISTRACIÓ,AF2,MP02 - Gestió de la documentació jurídica i empresarial (Juan),"8,88","8,47","8,41","8,71",,,17
ADMINISTRACIÓ,AF2,MP04 - Recursos humans i responsabilitat social corporativa,"7,69","7,31","6,56","7,44",,,16
ADMINISTRACIÓ,AF2,MP06 - Anglès,"8,50","9,00","7,94","8,50",,,18
ADMINISTRACIÓ,AF2,MP08 - Gestió financera,"8,33","8,61","8,44","8,17",,,18
ADMINISTRACIÓ,AF2,MP09 -  Comptabilitat i fiscalitat (Ana),"7,94","8,39","8,17","8,28",,,18
ADMINISTRACIÓ,AF2,MP09 -  Comptabilitat i fiscalitat (Montse),"8,28","8,50","8,67","8,44",,,18
ADMINISTRACIÓ,AF2,MP11 - Simulació empresarial (Marcos),"8,18","8,06","7,82","8,29",,,17
ADMINISTRACIÓ,AF2,MP11 - Simulació empresarial (Montse),"8,06","8,59","8,24","8,00",,,17
ADMINISTRACIÓ,AF2,Tutoria 2n curs,"7,65","7,47","8,29","7,47",,,17
INFORMÀTICA,ASIX1,El centre,"7,20","5,80","6,60","5,90","7,30","7,50",10
INFORMÀTICA,ASIX1,MP01 - Implantació de sistemes operatius,"4,64","4,09","7,00","6,36",,,11
INFORMÀTICA,ASIX1,MP02 - Gestió de bases de dades,"9,20","9,60","9,00","9,20",,,10
INFORMÀTICA,ASIX1,MP03 - Programació bàsica,"5,50","6,30","6,70","4,90",,,10
INFORMÀTICA,ASIX1,MP04 - Llenguatges de marques i sistemes de gestió d'informació,"9,60","9,40","9,00","9,70",,,10
INFORMÀTICA,ASIX1,MP12 - Formació i orientació laboral,"7,50","8,25","7,50","7,75",,,4
INFORMÀTICA,ASIX1,MP13 - Empresa i iniciativa emprenedora,"7,25","7,75","7,50","7,50",,,4
INFORMÀTICA,ASIX1,Tutoria 1r curs,"4,30","4,60","3,90",,,,10
