TIMESTAMP,GRUP,OBJECTE,MP-ÍTEM1,MP-ÍTEM2,MP-ÍTEM3,MP-ÍTEM4,MP-COMENTARI,TUTORIA1-ÍTEM1,TUTORIA1-ÍTEM2,TUTORIA1-ÍTEM3,TUTORIA1-COMENTARI,TUTORIA2-ÍTEM1,TUTORIA2-ÍTEM2,TUTORIA2-ÍTEM3,TUTORIA2-ÍTEM4,TUTORIA2-COMENTARI,CENTRE-ÍTEM1,CENTRE-ÍTEM2,CENTRE-ÍTEM3,CENTRE-ÍTEM4,CENTRE-ÍTEM5,CENTRE-ÍTEM6,CENTRE-COMENTARI
4/8/2019 16:07:18,AF1,MP01 - Comunicació i atenció al client,9,10,10,9,,,,,,,,,,,,,,,,,
4/8/2019 16:07:28,AF1,MP01 - Comunicació i atenció al client,8,7,8,7,,,,,,,,,,,,,,,,,
4/8/2019 16:07:44,AF1,MP01 - Comunicació i atenció al client,10,10,10,10,,,,,,,,,,,,,,,,,
4/8/2019 16:07:45,AF1,MP01 - Comunicació i atenció al client,10,10,10,10,,,,,,,,,,,,,,,,,
4/8/2019 16:07:48,AF1,MP01 - Comunicació i atenció al client,10,10,10,9,,,,,,,,,,,,,,,,,
4/8/2019 16:08:03,AF1,MP03 - Procés integral de l'activitat comercial,9,9,9,8,,,,,,,,,,,,,,,,,
4/8/2019 16:08:32,AF1,MP01 - Comunicació i atenció al client,7,7,7,6,Menos teoria.,,,,,,,,,,,,,,,,
4/8/2019 16:12:11,AF1,MP03 - Procés integral de l'activitat comercial,8,8,10,8,,,,,,,,,,,,,,,,,
4/8/2019 16:08:39,AF1,MP01 - Comunicació i atenció al client,9,10,10,8,Activitats més dinàmiques i no tant teòriques. Posada en comú amb els companys.,,,,,,,,,,,,,,,,
4/8/2019 16:08:40,AF1,MP01 - Comunicació i atenció al client,9,9,9,8,Creo que las actividades realizadas en clase deberían ser más dinámicas y en menor cantidad.,,,,,,,,,,,,,,,,
4/8/2019 16:08:45,AF1,MP03 - Procés integral de l'activitat comercial,10,10,10,10,,,,,,,,,,,,,,,,,
4/8/2019 16:08:47,AF1,MP05 - Ofimàtica i procés de la informació,9,8,9,8,,,,,,,,,,,,,,,,,
4/8/2019 16:08:51,AF1,MP03 - Procés integral de l'activitat comercial,10,10,10,10,,,,,,,,,,,,,,,,,
4/8/2019 16:09:01,AF1,MP05 - Ofimàtica i procés de la informació,10,10,10,10,,,,,,,,,,,,,,,,,
4/8/2019 16:09:08,AF1,MP06 - Anglès,9,8,9,8,,,,,,,,,,,,,,,,,
4/8/2019 16:09:09,AF1,MP03 - Procés integral de l'activitat comercial,10,10,8,9,,,,,,,,,,,,,,,,,
4/8/2019 16:09:20,AF1,MP03 - Procés integral de l'activitat comercial,7,8,7,6,Tendria que haber mas practica,,,,,,,,,,,,,,,,
4/8/2019 16:09:21,AF1,MP01 - Comunicació i atenció al client,6,6,8,6,hay demasiado volumen de tascas y las correciones podrían explicar un poco más en lo que has fallado,,,,,,,,,,,,,,,,
4/8/2019 16:09:32,AF1,MP10 - Gestió logística i comercial,10,10,10,10,,,,,,,,,,,,,,,,,
4/8/2019 16:09:36,AF1,MP01 - Comunicació i atenció al client,9,8,9,8,,,,,,,,,,,,,,,,,
4/8/2019 16:09:38,AF1,MP07 - Gestió de recursos humans,8,8,8,8,,,,,,,,,,,,,,,,,
4/8/2019 16:09:40,AF1,MP05 - Ofimàtica i procés de la informació,8,7,9,10,,,,,,,,,,,,,,,,,
4/8/2019 16:09:50,AF1,MP05 - Ofimàtica i procés de la informació,8,7,8,8,,,,,,,,,,,,,,,,,
4/8/2019 16:09:51,AF1,MP03 - Procés integral de l'activitat comercial,9,9,9,9,,,,,,,,,,,,,,,,,
4/8/2019 16:09:57,AF1,MP06 - Anglès,10,10,10,10,,,,,,,,,,,,,,,,,
4/8/2019 16:09:57,AF1,MP01 - Comunicació i atenció al client,10,8,10,10,muy bien,,,,,,,,,,,,,,,,
4/8/2019 16:10:10,AF1,MP05 - Ofimàtica i procés de la informació,9,9,9,9,,,,,,,,,,,,,,,,,
4/8/2019 16:10:11,AF1,MP03 - Procés integral de l'activitat comercial,7,7,8,7,Creo que las explicaciones deberían estar más pautadas y con un nivel adaptado a todo el alumnado.,,,,,,,,,,,,,,,,
4/8/2019 16:10:13,AF1,MP06 - Anglès,9,9,8,7,,,,,,,,,,,,,,,,,
4/8/2019 16:10:20,AF1,MP06 - Anglès,7,8,9,7,,,,,,,,,,,,,,,,,
4/8/2019 16:10:21,AF1,MP05 - Ofimàtica i procés de la informació,10,9,10,10,,,,,,,,,,,,,,,,,
4/8/2019 16:10:21,AF1,MP10 - Gestió logística i comercial,9,8,9,9,,,,,,,,,,,,,,,,,
4/8/2019 16:10:27,AF1,MP12 - Formació i orientació laboral,10,10,10,10,,,,,,,,,,,,,,,,,
4/8/2019 16:10:34,AF1,MP03 - Procés integral de l'activitat comercial,7,8,8,7,"Encarar l'assignatura d'una manera més guiada, adaptar la classe al nivell dels alumnes. Crec que sobren hores d'aquesta assignatura, passem massa temps mort.",,,,,,,,,,,,,,,,
4/8/2019 16:10:36,AF1,MP06 - Anglès,9,9,8,9,,,,,,,,,,,,,,,,,
4/8/2019 16:10:39,AF1,MP07 - Gestió de recursos humans,10,10,10,10,,,,,,,,,,,,,,,,,
4/8/2019 16:10:44,AF1,MP06 - Anglès,10,10,8,10,,,,,,,,,,,,,,,,,
4/8/2019 16:10:55,AF1,Tutoria 1r curs,,,,,,8,8,8,,,,,,,,,,,,,
4/8/2019 16:11:00,AF1,MP07 - Gestió de recursos humans,7,6,7,6,Menos teoria y mas practica,,,,,,,,,,,,,,,,
4/8/2019 16:11:00,AF1,MP06 - Anglès,10,10,10,10,,,,,,,,,,,,,,,,,
4/8/2019 16:11:04,AF1,MP07 - Gestió de recursos humans,10,10,10,10,,,,,,,,,,,,,,,,,
4/8/2019 16:11:05,AF1,MP07 - Gestió de recursos humans,9,8,9,9,,,,,,,,,,,,,,,,,
4/8/2019 16:11:20,AF1,El centre,,,,,,,,,,,,,,,10,10,10,10,10,10,
4/8/2019 16:11:29,AF1,MP10 - Gestió logística i comercial,9,9,9,9,,,,,,,,,,,,,,,,,
